"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"Tsunami ID = 5413"																																	
		"n"	"JAPAN"	"HOKKAIDO"	"HANASAKI"	43.2781	145.5678	615.251043347446	11	6	43	0	57	11	7	17	2.26		2	62	"R"												
		"n"	"JAPAN"	"KOCHI"	"TOSA-SHIMIZU"	32.7792	132.9589	1049.6044065424496	11	7	56	2	10	11	16	58	1.19		2	22	"R"												
		"n"	"PAPUA NEW GUINEA"	"MANUS"	"MANUS ISLAND, ADMIRALTY ISLANDS"	-2.035	147.367	4494.928492459762	11	11	45	5	58	11	16	0	1.03		2	72													
		"n"	"PAPUA NEW GUINEA"		"LOMBRUM, ADMIRALTY ISLANDS"	-2.04	147.4	4495.867326612982	11	11	43	5	56	11	15	58	1.08		2	62													
		"n"	"KIRIBATI"		"BETIO, TARAWA"	1.367	172.933	5141.988544410324	11	12	5	6	18	11	12	25	0.27		2	24													
		"n"	"NAURU"		"NAURU"	-0.5319	166.9092	4980.454157185569	11	11	40	5	53	11	11	57	0.27		2	24													
		"n"	"USA"	"HI"	"NAWILIWILI, KAUAI, HI"	21.9544	-159.3561	5800.001615507562	11	12	57	7	10	11	13	49	0.88		2	10													
		"n"	"USA"	"HI"	"HILO, HAWAII, HI"	19.7303	-155.0553	6309.607849238779	11	13	43	7	56	11	14	28	1.33		2	36													
		"n"	"USA"	"HI"	"KAWAIHAE, HAWAII, HI"	20.0366	-155.829	6223.2851911632315	11	13	35	7	48	11	14	20	1.04		2	14													
		"n"	"USA"	"HI"	"KAHULUI, MAUI, HI"	20.895	-156.477	6114.805824327383	11	13	27	7	40	11	14	9	2		2	26													
		"n"	"USA"	"HI"	"KAUMALAPAU, LANAI, HI"	20.787	-156.991	6076.321794300544	11	13	24	7	37	11	15	34	0.86		2	6													
		"n"	"USA"	"HI"	"HONOLULU, OAHU, HI"	21.3067	-157.867	5968.617468663595	11	13	14	7	27	11	13	29	0.71		2	32													
		"n"	"USA"	"HI"	"BARBERS POINT, OAHU, HI"	21.3218	-158.1193	5945.648495586795						11	13	24	0.7		2	64													
		"n"	"USA"	"HI"	"FRENCH FRIGATE SHOALS, HI"	23.867	-166.283	5083.587357912974									0.38		2	16													
		"n"	"USA TERRITORY"	"HI"	"JOHNSTON ISLAND"	16.7363	-169.5283	5244.027157460121	11	12	4	6	17	11	20	18	0.18		2	102													
		"n"	"PHILIPPINES"		"LEGASPI"	13.15	123.75	3339.6636776496525	11	10	22	4	35	11	10	50	0.29		2	62													
		"n"	"MARSHALL ISLANDS, REP. OF"	"MH"	"KWAJALEIN, MARSHALL ISLANDS"	8.733	167.733	4144.607748270254	11	10	49	5	2	11	11	43	0.66		2	16													
		"n"	"USA"	"AK"	"NIKOLSKI, AK"	52.9406	-168.871	4040.878338092739	11	11	9	5	22	11	16	24	0.84		2	26													
		"n"	"USA TERRITORY"	"HI"	"MIDWAY ISLANDS"	28.215	-177.361	3881.3726270649972	11	10	27	4	40	11	10	48	1.57		2	12													
		"n"	"USA"	"AK"	"ADAK, SWEEPER COVE, AK"	51.863	-176.632	3502.802480426235	11	10	21	4	34	11	17	52	1.1		2	66													
		"n"	"MICRONESIA, FED. STATES OF"		"YAP ISLAND, CAROLINE ISLANDS"	9.517	138.133	3216.15413822854	11	9	50	4	3	11	11	29	0.2		2	62													
		"n"	"USA TERRITORY"	"UM"	"WAKE ISLAND"	19.29	166.6183	3150.078972004128						11	9	27	0.5		2	14													
		"n"	"JAPAN"	"OKINAWA"	"NAHA"	26.217	127.667	1922.5111214192355	11	7	3	1	17	11	12	12	0.6		2	60													
		"n"	"USA TERRITORY"	"MP"	"SAIPAN, NORTHERN MARIANA ISLANDS"	15.2266	145.742	2577.7466530822817	11	9	4	3	17	11	9	15	0.8		2	34													
		"n"	"JAPAN"	"SHIZUOKA"	"OMAEZAKI"	34.6083	138.2222	553.0454193787465	11	7	3	1	17	11	8	19	1.15		2	45	"R"												
		"n"	"USA"	"HI"	"D51407 BPR, SE OF HONOLULU, HI"	19.634	-156.507	6188.506530817121	11	13	20	7	33	11	13	43	0.31		3	48													
		"n"	"MARSHALL ISLANDS, REP. OF"	"MH"	"D52402 BPR, 790 NM NW OF KWAJALEIN"	11.575	154.588	3199.8623628277405	11	10	1	4	14	11	10	38	0.11		3	32													
		"n"	"USA"	"AK"	"D46403 BPR, SE OF SHUMAGIN IS, AK"	52.65	-156.94	4845.222703131806	11	11	28	5	41	11	12	55	0.1		3	20													
		"n"	"USA"	"AK"	"D21415 BPR, 175 NM S OF ATTU, AK"	50.173	171.837	2673.125042270557	11	8	45	2	58	11	8	57	0.27		3	26													
		"n"	"RUSSIA"	"KURIL ISLANDS"	"D21419 BPR, 209 NM S OF KURIL IS"	44.455	155.736	1308.0194839303745	11	7	6	1	19	11	7	16	0.54		3	20													
		"n"	"JAPAN"		"D21413, SE TOKYO, JAPAN"	30.55	152.117	1239.859916688153	11	7	7	1	21	11	7	7	0.74		3	26													
		"n"	"RUSSIA"	"KURIL ISLANDS"	"D21401 BPR, 250NM SE OF ITIRUP IS"	42.617	152.583	989.0199593515865	11	6	44	0	57	11	6	53	0.67		3	22													
		"n"	"JAPAN"		"D21418 BPR, NE TOKYO, JAPAN"	38.71	148.67	551.0777860701688	11	6	14	0	28	11	6	19	1.78		3	6													
		"n"	"USA"	"AK"	"SHEMYA ISLAND, AK"	52.731	174.103	2916.495886614811									1.57		2														
		"n"	"USA"	"AK"	"UNALASKA, DUTCH HARBOR, AK"	53.883	-166.533	4202.2718546931665						11	12	54	0.51		2														
		"n"	"USA"	"AK"	"SAINT PAUL ISLAND, AK"	57.125	-170.275	4010.465478985756	11	11	51	6	4	11	12	46	0.61		2														
		"n"	"USA"	"AK"	"SAND POINT, AK"	55.337	-160.502	4595.696428423117	11	12	26	6	39	12	0	2	0.61		2														
		"n"	"USA"	"AK"	"KING COVE, AK"	55.060001	-162.324005	4479.493950840681	11	12	20	6	33	11	21	1	0.54		2														
		"n"	"CANADA"	"BC"	"LANGARA ISLAND, BRITISH COLUMBIA"	54.25	-133.033333	6342.85698253821									0.54		2														
		"n"	"KIRIBATI"		"KANTON ISLAND, PHOENIX ISLANDS"	-2.817	-171.717	6552.610098099805	11	13	33	7	46	11	17	44	0.16		2	4													
		"n"	"KIRIBATI"		"CHRISTMAS ISLAND, LINE ISLANDS"	1.984	-157.473	7302.237431233269	11	14	47	9	0	11	15	43	0.53		2	16													
		"n"	"JAPAN"	"CHIBA"	"BOSO"	34.9	139.85	439.34553548293434									0.75		2														
		"n"	"JAPAN"	"IWATE"	"OFUNATO"	39.017	141.75	96.58556110328908	11	5	46	0	0	11	6	18	8		2														
		"n"	"JAPAN"	"TSHIBA"	"TOKAI"	33.8	137.6	658.5443029815048									0.23		2														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"MALOKURIL'SKAYA BAY, SHIKOTAN"	43.867	146.817	722.2894094667759	11	6	50	1	4				2.29		2														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"YUZHNO-KURIL'SK, KUNASHIR ISLAND"	44.03	145.86	700.5526244424648	11	7	26						1.03		2														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"BUREVESTNIK, ITURUP I., KURILSKIYE"	44.929525	147.629642	856.6427902882369	11	7	0			11	7	22	2		1														
		"n"	"RUSSIA"	"KURIL ISLANDS"	"ITURUP ISLAND, KURILSKIYE"	44.9316	147.6258	856.6742471677462									0.53		2														
		"n"	"RUSSIA"	"SAKHALIN"	"NEVELSK, SAKHALIN"	46.67	141.855	931.0653893365505									0.09		2														
		"n"	"RUSSIA"	"SAKHALIN"	"KHOLMSK, SAKHALIN I"	47.050556	142.043889	972.7741375889567									0.07		2														
		"n"	"RUSSIA"	"SAKHALIN"	"KORSAKOV, SAKHALIN"	46.633333	142.766667	926.5831516345797	11	7	40			11	16	9	0.42		2														
		"n"	"RUSSIA"	"SAKHALIN"	"STARODUBSKOE"	47.415	142.85	1013.6640643034166									0.16		2														
		"n"	"RUSSIA"	"SAKHALIN"	"PORONAYSK, SAKHALIN"	49.217	143.117	1214.757471673901									0.44		2														
		"n"	"RUSSIA"	"KAMCHATKA"	"SEMJACHIK, KAMCHATKA"	54.117	159.983	2209.3630441349096									0.82		2														
		"n"	"RUSSIA"	"KAMCHATKA"	"PETROPAVLOVSK, KAMCHATKA"	53.01667	158.65	2059.9965188635206									0.15		2														
		"n"	"RUSSIA"	"KAMCHATKA"	"NIKOLSKOE, BERING I, COMMANDER I"	55.2	166	2580.937236868185	11	8	37						0.25		2														
		"n"	"RUSSIA"	"PRIMORSKY"	"RUDNAYA"	44.364	135.818	868.3603751634599									0.15		2														
		"n"	"RUSSIA"	"SAKHALIN"	"CAPE CRILLON (KRILON), SAKHALIN I."	45.894	142.08	844.185480424981									0.19		2														
		"n"	"VANUATU"		"PORT VILA, EFATE ISLAND"	-17.7553	168.3077	6770.411400501165	11	14	42	8	55	11	15	36	0.8		2	22													
		"n"	"VANUATU"		"LUGANVILLE"	-15.5156	167.1886	6495.60787102102									0.54		2	54													
		"n"	"FIJI"		"LAUTOKA"	-17.6049	177.4383	7190.364145606419	11	15	44	9	57	11	19	5	0.29		2	48													
		"n"	"CHILE"	"ARICA Y PARINACOTA"	"ARICA"	-18.4758	-70.3232	16168.976152343728	12	3	13	21	26	12	12	20	2.45		2	32													
		"n"	"USA"	"CA"	"NORTH SPIT, HUMBOLDT BAY, CA"	40.767	-124.217	7616.074102550572	11	15	34			11	16	36	0.97		2	26	"R"												
		"n"	"USA"	"CA"	"ARENA COVE, CA"	38.914	-123.711	7764.407106508752	11	15	31	9	44	11	17	23	1.74		2	16													
		"n"	"USA"	"CA"	"CRESCENT CITY, CA"	41.7456	-124.184	7560.165944783361	11	15	34	9	47	11	16	53	2.47		2	20	"R"							20	4				
		"n"	"USA"	"OR"	"PORT ORFORD, OR"	42.737	-124.497	7479.9079437049795	11	15	22	9	35	11	17	15	2.02		2	16													
		"n"	"SOLOMON ISLANDS"		"HONIARA, GUADALCANAL"	-9.429	159.955	5590.216772325315	11	13	38	7	51	11	16	14	0.21		2	46													
		"n"	"USA"	"WA"	"LA PUSH, WA"	47.909	-124.637	7176.772410429577									0.71		2														
		"n"	"USA"	"WA"	"NEAH BAY, WA"	48.367	-124.612	7153.251640338756	11	15	36	9	49	11	23	50	0.43		2														
		"n"	"USA"	"OR"	"SOUTH BEACH, OR"	44.625	-124.043	7401.453176680988	11	15	44	9	57	11	18	37	0.43		2														
		"n"	"USA"	"OR"	"CHARLESTON, OR"	43.352	-124.192	7465.138278977675	11	15	33	9	46	11	16	56	0.71		2	24													
		"n"	"USA"	"WA"	"WESTPORT, WA"	46.908	-124.11	7266.895588150707	11	15	44	9	57	11	19	32	0.46		2														
		"n"	"USA"	"AK"	"PORT ALEXANDER, AK"	56.246611	-134.647694	6170.343479706315									0.42		2														
		"n"	"USA"	"CA"	"MONTEREY, CA"	36.605	-121.888	8041.204550111657	11	15	48	10	1	11	16	2	0.7		2														
		"n"	"USA"	"CA"	"SAN FRANCISCO, CA"	37.807	-122.465	7923.294841796063	11	16	12			11	17	52	0.62		2		"R"								1				
		"n"	"NEW ZEALAND"		"LOTTIN POINT"	-37.5503	178.159	9165.445595905674	11	18	18	12	32	11	22	10	0.39		2	30													
		"n"	"NEW ZEALAND"		"NORTH CAPE"	-34.4148	173.0487	8650.996035051838	11	17	52	12	5	12	0	59	0.38		2	26													
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PAPEETE, TAHITI"	-17.5331	-149.5726	9403.36086638455	11	17	16	11	29	11	18	9	0.42		2	26													
		"n"	"PHILIPPINES"		"SUBIC BAY"	14.8	120.3	3388.933501205884	11	11	14	5	27	11	15	15	0.1		2	76													
		"n"	"FRENCH POLYNESIA"	"MARQUESAS ISLANDS"	"NUKU HIVA ISLAND, MARQUESAS ISLANDS"	-8.9148	-140.0958	9549.350125552064	11	17	50	12	3	11	18	30	1.56		2	14													
		"n"	"TONGA"		"NUKUALOFA (NUKU'ALOFA)"	-21.138	-175.1815	7933.302672078004	11	16	24	10	38	11	18	27	0.6		2	28													
		"n"	"COOK ISLANDS"		"RAROTONGA"	-21.2	-159.783	8933.107769189246									0.29		2	8													
		"n"	"NEW ZEALAND"		"RAOUL ISLAND, BOAT COVE"	-29.28	-177.8944	8546.197731179562	11	17	21	11	34	11	23	2	0.31		2	6													
		"n"	"USA"	"CA"	"PORT SAN LUIS, CA"	35.17666	-120.755	8216.297958229115	11	16	10	10	23	11	17	28	2.02		2	30	"R"												
		"n"	"USA TERRITORY"	"AS"	"PAGO PAGO, AMERICAN SAMOA"	-14.2766	-170.689	7601.19731989201	11	15	2	9	15	11	17	19	0.53		2	22													
		"n"	"INDONESIA"	"NORTH SULAWESI"	"BITUNG"	1.438944	125.190431	4442.460961541608	11	11	41	5	54	11	4	59	0.1		2	48													
		"n"	"MEXICO"	"GUERRERO"	"ACAPULCO"	16.8379333	-99.903	11112.028571334615	11	20	19	14	32	12	5	24	1.05		2	30													
		"n"	"USA"	"CA"	"SANTA BARBARA, CA"	34.40829	-119.68499	8345.636116625763	11	16	27	10	40	11	23	53	1.02		2	10	"R"							0.07	1				
		"n"	"MEXICO"	"COLIMA"	"MANZANILLO"	19.05	-104.333	10605.478440799507	11	19	36	13	49	12	1	16	1.7		2	32													
		"n"	"MEXICO"	"BAJA CALIFORNIA SUR"	"CABO SAN LUCAS"	22.883	-109.9	9892.273321239078	11	18	20	12	33	12	5	27	0.17		2	14													
		"n"	"FRENCH POLYNESIA"		"RIKITEA (GAMBIER), MANGAREVA ISLAND"	-23.1178	-134.9689	10964.258800961206	11	19	56	14	9	11	21	7	0.24		2	14													
		"n"	"USA"	"CA"	"ALAMEDA, CA"	37.77166	-122.29833	7937.62899080325	11	16	36	10	49	11	18	9	0.51		2		"R"								1				
		"n"	"USA"	"AK"	"ALITAK, AK"	56.85	-154.3	4975.735716194337						12	1	55	0.18		2														
		"n"	"USA"	"OR"	"ASTORIA, OR"	46.208	-123.767	7329.156772057208	11	16	19	10	32	11	21	52	0.18		2														
		"n"	"USA"	"WA"	"CHERRY POINT, WA"	48.863	-122.758	7244.187980100247	11	17	5	11	18	11	20	36	0.07		2														
		"n"	"USA"	"AK"	"CORDOVA, AK"	60.48	-145.87	5425.355292804397									0.09		2														
		"n"	"USA"	"AK"	"CRAIG, AK"	55.46	-133.13	6289.259244023261									0.31		2														
		"n"	"USA"	"AK"	"ELFIN COVE, AK"	58.2	-136.36	6006.170387116747									0.21		2														
		"n"	"USA"	"WA"	"FRIDAY HARBOR, WA"	48.547	-123.007	7246.147072439639									0.1		2														
		"n"	"USA"	"OR"	"GARIBALDI, OR"	45.555	-123.912	7356.808170378313									0.35		2														
		"n"	"USA"	"AK"	"JUNEAU, AK"	58.2983	-134.412	6112.406211600557									0.21		2														
		"n"	"USA"	"AK"	"KETCHIKAN, AK"	55.333	-131.633	6382.901099996411									0.11		2														
		"n"	"USA"	"AK"	"KODIAK, AK"	57.730313	-152.513871	5076.471985711286	11	13	48	8	1	12	4	55	0.35		2														
		"n"	"USA"	"CA"	"LA JOLLA, CA"	32.867	-117.257	8628.401182866011	11	16	47	11		11	20	6	0.39		2		"R"												
		"n"	"USA"	"CA"	"LOS ANGELES, CA"	33.719	-118.272	8495.893026586331	11	16	40			11	21	15	0.49		2		"R"								1				
		"n"	"USA"	"CA"	"MARE ISLAND, CA"	38.07	-122.25	7922.448085017663									0.07		2														
		"n"	"USA"	"AK"	"NOME, AK"	64.499199	-165.400604	4453.783523109707									0.04		2														
		"n"	"USA"	"AK"	"OLD HARBOR, KODIAK, AK"	57.201	-153.305	5033.386732794528									0.38		2														
		"n"	"USA"	"CA"	"PLATFORM HARVEST, CA"	34.4683	-120.673	8268.4001604156									0.15		2														
		"n"	"USA"	"CA"	"POINT ARENA, CA"	38.95	-123.73	7760.832240940322	11	15	29			11	17	50	1.74		2		"R"												
		"n"	"USA"	"CA"	"POINT REYES, CA"	37.997	-122.975	7874.337577585845	11	15	53	10	6	11	18	10	1.35		2														
		"n"	"CANADA"	"BC"	"PORT ALBERNI, BRITISH COLUMBIA"	49.233	-124.814	7093.251150028749									0.68		2														
		"n"	"USA"	"WA"	"PORT ANGELES, WA"	48.125	-123.44	7242.1278282168	11	16	14	10	27	11	18	24	0.59		2														
		"n"	"USA"	"CA"	"PORT CHICAGO, CA"	38.057	-122.038	7938.617375042981	11	17	50			12	9	50	0.04		2		"R"												
		"n"	"USA"	"AK"	"PORT MOLLER, AK"	55.990002	-160.580002	4590.988999492549									0.15		2														
		"n"	"USA"	"WA"	"PORT TOWNSEND, WA"	48.101	-122.758	7287.244498130364	11	16	41	10	54	12	0	12	0.16		2														
		"n"	"USA"	"CA"	"REDWOOD CITY, CA"	37.5066	-122.21	7960.698527815647	11	17	41	11	54	12	11	1	0.12		2														
		"n"	"USA"	"CA"	"RICHMOND, CA"	37.92833	-122.4	7920.430446087898	11	16	45			11	18	2	0.35		2		"R"								1				
		"n"	"USA"	"CA"	"SAN DIEGO, CA"	32.713	-117.174	8645.006859866331	11	17	7	11	20	12	7	29	0.63		2														
		"n"	"CHILE"	"LOS RIOS"	"CORRAL"	-39.8783	-73.4228	16942.0680228352	12	4	41	22	54	12	7	26	1.59		2	18													
		"n"	"USA"	"CA"	"SANTA MONICA, CA"	34.008	-118.5	8459.738292550832	11	16	43	10	56	11	22	24	0.85		2														
		"n"	"USA"	"WA"	"SEATTLE, WA"	47.6	-122.33	7343.343681009433	11	17	25	11	38				0.04		2														
		"n"	"USA"	"AK"	"SELDOVIA, AK"	59.47	-151.68	5112.338610786856									0.1		2														
		"n"	"USA"	"AK"	"SEWARD, AK"	60.119	-149.427	5233.721545162363	11	13	53	8	6	11	23	57	0.47		2														
		"n"	"USA"	"AK"	"SITKA, AK"	57.052	-135.342	6101.749238199041									0.4		2														
		"n"	"USA"	"AK"	"SKAGWAY, AK"	59.44	-135.33	6024.775152863314	11	15	46	9	59	11	22	44	0.21		2														
		"n"	"USA"	"WA"	"SKAMOKAWA, WA"	46.266	-123.452	7346.686453606421									0.06		2														
		"n"	"USA"	"WA"	"TACOMA, WA"	47.27	-122.433	7355.68379117534									0.06		2														
		"n"	"CANADA"	"BC"	"WINTER HARBOR, BRITISH COLUMBIA"	50.513	-128.028	6822.537340455752	11	14	49	9	2	11	20	1	0.77		2	48													
		"n"	"USA"	"WA"	"TOKE POINT, WA"	46.705	-123.966	7287.809977271913									0.33		2														
		"n"	"USA"	"AK"	"VALDEZ, AK"	61.133301	-146.316696	5392.840851308651									0.08		2														
		"n"	"USA"	"OR"	"WAUNA, OR"	46.16	-123.405	7355.8686462047835									0.05		2														
		"n"	"USA"	"AK"	"YAKUTAT, AK"	59.55	-139.733	5780.211643729	11	14	9	8	22	11	18	43	0.35		2	36													
		"n"	"CHILE"	"BIOBIO"	"TALCAHUANO"	-36.6953	-73.1063	16901.067240932392	12	4	44	22	57	12	6	44	2.09		2	46													
		"n"	"PERU"	"CALLAO"	"CALLAO LA PUNTA"	-12.069	-77.1668	15148.251993398122	12	2	4	20	17	12	4	44	1.44		2	38													
		"n"	"CHILE"	"TARAPACA"	"IQUIQUE"	-20.20457778	-70.14783056	16308.365598499473	12	3	5	21	18	12	7	56	1.04		2	14													
		"n"	"CHILE"	"VALPARAISO"	"SAN FELIX"	-26.283	-80.117	15847.554099410265									0.51		2														
		"n"	"USA"	"HI"	"D51406 BPR, SOUTHEAST OF HAWAII"	-8.489	-125.006	10819.578687822861	11	19	10	13	23	11	20	1	0.18		3	20													
		"n"	"CHILE"	"ATACAMA"	"CALDERA"	-27.0644	-70.8247	16692.752839147906	12	3	31	21	44	12	5	44	2.14		2	20													
		"n"	"CHILE"	"ARICA Y PARINACOTA"	"D32401 BPR, W-SW OF ARICA, CHILE"	-19.297	-74.746	15871.880284854993						12	3	52	0.1		3														
		"n"	"PERU"		"D32412 BPR, SW OF LIMA, PERU"	-17.975	-86.392	14804.400974903747						12	2	12	0.09		3														
		"n"	"CHILE"	"COQUIMBO"	"COQUIMBO"	-29.95	-71.3353	16800.01852916908	12	3	51	22	4	12	7	11	2.42		2	20													
		"n"	"PERU"	"AREQUIPA"	"ATICO"	-16.209	-73.622	15740.628769186236	12	2	21	20	34	12	8	26	0.63		2	18													
		"n"	"ECUADOR"	"SANTA ELENA"	"LA LIBERTAD"	-2.2177	-80.9064	14076.805087958659	12	1	19	19	32	12	4	51	1.61		2	38													
		"n"	"PERU"		"D32413 BPR, 1000 NM W-NW OF LIMA"	-7.3994	-93.50388	13471.813369930307									0.13		3														
		"n"	"CHILE"	"VALPARAISO (ISLA DE PASCUA)"	"EASTER ISLAND"	-27.15	-109.45	13343.961850058466									0.73		2														
		"n"	"ECUADOR"	"GALAPAGOS ISLANDS"	"SANTA CRUZ ISLAND"	-0.7533	-90.3117	13235.407269462505	11	23	33	17	46	12	0	38	2.26		2	26													
		"n"	"NEW ZEALAND"		"JACKSON BAY"	-43.9733	168.6161	9486.969434550589	11	20	12	14	26	12	0	50	0.37		2	33													
		"n"	"NEW ZEALAND"		"WAITANGI, CHATHAM ISLAND"	-43.9458	-176.56	10002.701639431827	11	20	9	14	22				0.6		2	22													
		"n"	"NEW ZEALAND"		"OWENGA, CHATHAM ISLAND"	-44.0248	-176.369	10018.151347503977	11	19	57	14	10	12	1	55	0.91		2	36													
		"n"	"NEW ZEALAND"		"CHRISTCHURCH"	-43.55	172.6667	9565.367352660702	11	23	52	18	5	12	3	20	0.48		2	54													
		"n"	"EL SALVADOR"	"SONSONATE"	"ACAJUTLA"	13.5739	-89.8383	12112.399860506464	11	22	35	16	48	12	19	8	0.48		2	26													
		"n"	"AUSTRALIA"		"SPRING BAY, TASMANIA"	-42.5465	147.9307	8970.469492229593	11	20	20	14	59	12	6	32	0.36		2	78	"F"												
		"n"	"COSTA RICA"		"QUEPOS"	9.4246	-84.1711	12861.311282556135	11	23	24	17	37	12	4	0	0.5		2	24													
		"n"	"ECUADOR"	"GALAPAGOS ISLANDS"	"BALTRA ISLAND"	-0.433	-90.283	13212.822262218515	11	23	24	17	37	12	0	7	0.86		2	32													
		"n"	"FRENCH POLYNESIA"		"RANGIROA"	-14.9458	-147.706	9357.367362322471	11	17	19	11	32	11	18	26	0.31		2	8													
		"n"	"NEW ZEALAND"		"RAOUL ISLAND, FISHING ROCK"	-29.251144	-177.903842	8542.985263008923	11	17	19	11	33	11	21	31	0.47		2	8													
		"n"	"AUSTRALIA"		"ROSSLYN BAY"	-23.161	150.79	6859.480221008744	11	19	17	13	30	12	0	15	0.41		2	22													
		"n"	"AUSTRALIA"		"PORT KEMBLA"	-34.4738	150.9119	8104.817013520342	11	20	2	14	1	12	0	20	0.36		2	30	"R"												
		"n"	"AUSTRALIA"		"BURNIE, TASMANIA"	-41.0501	145.915	8793.983814735357						12	3	47	0.16		2	18													
		"n"	"PALAU"		"MALAKAL ISLAND, CAROLINE ISLANDS"	7.333	134.463	3520.8601317144585	11	10	30	4	43	11	12	0	0.16		2	42													
		"n"	"MARSHALL ISLANDS, REP. OF"	"MH"	"MAJURO, MARSHALL ISLANDS"	7.1	171.366	4521.661645897134	11	11	23	5	36	11	11	45	0.51		2	24													
		"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"HUAHINE"	-16.7216	-151.0324	9228.570614346401	11	17	20	11	33	11	19	59	0.34		2	2													
		"n"	"FRENCH POLYNESIA"		"TUBUAI"	-23.3418	-149.4756	9849.255525477301	11	17	59	12	12	11	19	38	0.18		2	20													
		"n"	"CHILE"	"ANTOFAGASTA"	"ANTOFAGASTA"	-23.65	-70.404	16521.593484662375	12	3	20	21	33	12	9	4	0.96		2	34													
		"n"	"CHILE"	"VALPARAISO"	"SAN ANTONIO"	-33.581625	-71.618188	16931.06511036778	12	3	58	22	11				0.89		2	18													
		"n"	"CHILE"	"VALPARAISO"	"VALPARAISO"	-33.02767128	-71.62787275	16909.138067837393	12	4	0	22	13	12	6	18	1.54		2	42													
		"n"	"CHILE"	"MAULE"	"CONSTITUCION"	-35.3558	-72.4578	16918.4436017117	12	4	55	23	8	12	9	41	1.93		2	28													
		"n"	"CHILE"	"LOS LAGOS"	"PUERTO MONTT"	-41.483	-72.967	17000.587952182406	12	7	7	25	20	12	10	40	0.15		2	96													
		"n"	"PHILIPPINES"		"LUBANG"	13.8184	120.2022	3483.7337644693166	11	12	2	6	15	11	15	41	0.18		2	26													
		"n"	"FIJI"		"SUVA, KING'S WHARF"	-18.1342	178.4236	7293.624662597468	11	15	31	9	44	11	17	9	0.21		2	34													
		"n"	"EL SALVADOR"	"LA UNION"	"LA UNION"	13.333	-87.817	12274.63839377464	12	0	16	18	29	12	8	38	0.05		2	22													
		"n"	"NEW ZEALAND"		"PORT NAPIER"	-39.4757	176.9201	9306.183246496774	11	19	44	13	57	12	1	50	0.46		2	36													
		"n"	"NEW ZEALAND"		"PUYSEGUR"	-46.0858	166.5894	9654.273853804281	11	21	20	15	33	13	1	36	0.09		2	18													
		"n"	"AUSTRALIA"		"GROOTE EYLANDT ISLAND (MILNER BAY)"	-13.86	136.4158	5806.697047286358	12	5	29	23	42	12	6	20	0.04		2	46													
		"n"	"AUSTRALIA"		"PORTLAND"	-38.3434	141.6132	8486.43713182258	11	22	39	16	52	12	9	4	0.12		2	40													
		"n"	"NEW ZEALAND"		"DUNEDIN"	-45.8143	170.6294	9735.184226705878	11	20	50	15	3	12	2	18	0.11		2	28													
		"n"	"CANADA"	"BC"	"PATRICIA BAY, BRITISH COLUMBIA"	48.6536	-123.4515	7211.85102006623	11	16	4	10	17	11	17	47	0.79		2	74													
		"n"	"CHILE"	"MAGALLANES"	"PUERTO WILLIAMS"	-54.93278	-67.60833	17102.754409426827	12	5	52	24	5	12	9	52	0.18		2	46													
		"n"	"NEW ZEALAND"	"BAY OF PLENTY"	"TAURANGA"	-37.6410885	176.1811791	9095.18245832441	11	18	43	12	56	11	21	37	0.28		2	68													
		"n"	"NEW ZEALAND"	"WELLINGTON"	"WELLINGTON"	-41.2846	174.7791	9407.47603855207	11	21	43	15	56	12	7	44	0.17		2	20													
		"n"	"USA"	"AK"	"D46408 BPR, NORTHWEST PACIFIC OCEAN"	49.626	-169.871	3959.0032353440797	11	10	17	4	30	11	10	30	0.22		3	18													
		"n"	"JAPAN"	"HOKKAIDO"	"KUSHIRO"	42.9756	144.3714	546.3096515519667	11	6	35	0	49	11	14	17	2.26		2	51	"R"												
		"n"	"JAPAN"	"HOKKAIDO"	"NEMUROKO"	43.35	145.583	622.9310890700261	11	7	6	1	20	11	11	11	0.49		2	101	"R"												
		"n"	"JAPAN"	"YAMAGATA"	"HAMANAKA"	43.117	145.117	583.2327044610641	11	6	27	0	41	11	13	19	2.6		2														
		"n"	"JAPAN"	"HOKKAIDO"	"URAKAWA"	42.167	142.767	431.0262382412448	11	6	20	0	34	11	7	42	2.4		2	22	"F"												
		"n"	"JAPAN"	"HOKKAIDO"	"TOKACHIKO"	42.3	143.317	451.67356978240605	11	6	27	0	41	11	7	21	2.63		2	50	"F"												
